resume_text,quality
Looking for job opportunity with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Java, HTML, C++, CSS seeking entry level opportunity.",1
"Graduate with knowledge of Java, HTML, Excel, JavaScript seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of C++, CSS, Communication, Java seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of HTML, Excel, C++, C seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C++, CSS, JavaScript, Excel seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of HTML, Excel, C++, Communication seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, SQL, Python, Cloud, Data Analysis and over 4 years of experience.",2
"Experienced professional with skills in SQL, Docker, Machine Learning, NLP, PyTorch and over 5 years of experience.",2
"Experienced professional with skills in Cloud, TensorFlow, PyTorch, NLP, SQL and over 8 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in PyTorch, SQL, Deep Learning, TensorFlow, Cloud and over 4 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C, HTML, JavaScript, Communication seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in SQL, PyTorch, Machine Learning, NLP, Python and over 4 years of experience.",2
"Graduate with knowledge of JavaScript, Java, C, HTML seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of JavaScript, CSS, Basic Python, Excel seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of HTML, Java, C, Basic Python seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Data Analysis, Python, NLP, TensorFlow and over 3 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Communication, C, HTML, JavaScript seeking entry level opportunity.",1
"Graduate with knowledge of Excel, Communication, C++, C seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, SQL, Python, Machine Learning, Docker and over 6 years of experience.",2
"Experienced professional with skills in NLP, Cloud, TensorFlow, Python, Deep Learning and over 7 years of experience.",2
"Graduate with knowledge of Basic Python, C, CSS, Excel seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Docker, Machine Learning, Deep Learning, Data Analysis, PyTorch and over 7 years of experience.",2
"Experienced professional with skills in Docker, Python, TensorFlow, Machine Learning, NLP and over 10 years of experience.",2
"Experienced professional with skills in Docker, NLP, TensorFlow, Python, SQL and over 9 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, Cloud, Data Analysis, TensorFlow, SQL and over 4 years of experience.",2
"Experienced professional with skills in Python, Cloud, Data Analysis, SQL, Docker and over 5 years of experience.",2
"Experienced professional with skills in Docker, SQL, NLP, Machine Learning, Deep Learning and over 6 years of experience.",2
"Graduate with knowledge of Communication, HTML, Java, JavaScript seeking entry level opportunity.",1
"Graduate with knowledge of Excel, C++, HTML, C seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of C, CSS, JavaScript, C++ seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Excel, Java, HTML seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Docker, NLP, Cloud, TensorFlow, Python and over 10 years of experience.",2
"Graduate with knowledge of C++, C, Communication, CSS seeking entry level opportunity.",1
"Experienced professional with skills in SQL, Deep Learning, Python, Machine Learning, Cloud and over 7 years of experience.",2
"Graduate with knowledge of Communication, Basic Python, C++, C seeking entry level opportunity.",1
"Graduate with knowledge of Excel, Basic Python, Communication, C++ seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Docker, Cloud, TensorFlow, PyTorch, SQL and over 5 years of experience.",2
"Experienced professional with skills in Data Analysis, Deep Learning, Docker, TensorFlow, Cloud and over 8 years of experience.",2
"Graduate with knowledge of JavaScript, Excel, Communication, C seeking entry level opportunity.",1
"Experienced professional with skills in Python, Data Analysis, Machine Learning, NLP, Docker and over 3 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in PyTorch, Cloud, Docker, TensorFlow, Python and over 8 years of experience.",2
"Experienced professional with skills in Deep Learning, Docker, NLP, SQL, Python and over 9 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in Python, Deep Learning, TensorFlow, NLP, Data Analysis and over 7 years of experience.",2
"Experienced professional with skills in NLP, SQL, Data Analysis, PyTorch, TensorFlow and over 3 years of experience.",2
"Experienced professional with skills in NLP, Data Analysis, SQL, Docker, Cloud and over 10 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Graduate with knowledge of C++, CSS, Java, C seeking entry level opportunity.",1
"Graduate with knowledge of Communication, Basic Python, C, Java seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Data Analysis, SQL, Deep Learning, NLP and over 10 years of experience.",2
"Experienced professional with skills in PyTorch, Machine Learning, Data Analysis, Docker, NLP and over 5 years of experience.",2
Fresher with no significant technical experience.,0
"Graduate with knowledge of C++, Java, JavaScript, Excel seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of JavaScript, Basic Python, C, CSS seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, Python, Machine Learning, PyTorch, NLP and over 10 years of experience.",2
"Experienced professional with skills in PyTorch, Deep Learning, Cloud, SQL, Data Analysis and over 8 years of experience.",2
"Graduate with knowledge of Communication, JavaScript, CSS, C seeking entry level opportunity.",1
"Graduate with knowledge of Communication, CSS, C++, Java seeking entry level opportunity.",1
"Experienced professional with skills in NLP, Cloud, SQL, PyTorch, Deep Learning and over 8 years of experience.",2
"Experienced professional with skills in Docker, Python, SQL, TensorFlow, Cloud and over 9 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Excel, C++, JavaScript, HTML seeking entry level opportunity.",1
"Experienced professional with skills in NLP, TensorFlow, Docker, Machine Learning, Python and over 8 years of experience.",2
"Experienced professional with skills in Python, TensorFlow, Machine Learning, SQL, Data Analysis and over 8 years of experience.",2
"Experienced professional with skills in PyTorch, NLP, Cloud, Docker, Machine Learning and over 5 years of experience.",2
"Experienced professional with skills in TensorFlow, PyTorch, Machine Learning, SQL, Docker and over 10 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Excel, C, JavaScript, Communication seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in NLP, Data Analysis, TensorFlow, SQL, Machine Learning and over 10 years of experience.",2
"Experienced professional with skills in NLP, TensorFlow, Python, Data Analysis, Machine Learning and over 9 years of experience.",2
"Experienced professional with skills in Data Analysis, Deep Learning, Docker, NLP, TensorFlow and over 9 years of experience.",2
"Graduate with knowledge of Java, C, HTML, C++ seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Cloud, TensorFlow, Data Analysis, PyTorch, SQL and over 3 years of experience.",2
Fresher with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C++, Excel, JavaScript, Basic Python seeking entry level opportunity.",1
"Experienced professional with skills in Data Analysis, Cloud, PyTorch, Machine Learning, Deep Learning and over 5 years of experience.",2
"Graduate with knowledge of JavaScript, HTML, C++, C seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Data Analysis, Cloud, PyTorch, NLP and over 9 years of experience.",2
"Experienced professional with skills in SQL, PyTorch, NLP, TensorFlow, Cloud and over 7 years of experience.",2
Fresher with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Graduate with knowledge of Excel, Java, C, CSS seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in Cloud, PyTorch, Python, Data Analysis, Deep Learning and over 6 years of experience.",2
"Graduate with knowledge of Java, Basic Python, CSS, C seeking entry level opportunity.",1
"Graduate with knowledge of CSS, HTML, JavaScript, C seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Docker, Deep Learning, TensorFlow, SQL and over 7 years of experience.",2
"Graduate with knowledge of HTML, Excel, JavaScript, C++ seeking entry level opportunity.",1
"Experienced professional with skills in Docker, SQL, TensorFlow, Machine Learning, Cloud and over 6 years of experience.",2
"Experienced professional with skills in Deep Learning, TensorFlow, Docker, PyTorch, NLP and over 8 years of experience.",2
"Experienced professional with skills in Python, SQL, TensorFlow, Docker, NLP and over 3 years of experience.",2
"Graduate with knowledge of CSS, HTML, Basic Python, JavaScript seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Docker, Deep Learning, TensorFlow, NLP, Cloud and over 3 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of C, Java, Basic Python, C++ seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Excel, HTML, Java, Communication seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Basic Python, JavaScript, Excel, Communication seeking entry level opportunity.",1
"Graduate with knowledge of C++, CSS, JavaScript, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Communication, Basic Python, CSS, C seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Machine Learning, Deep Learning, NLP, Data Analysis and over 4 years of experience.",2
"Graduate with knowledge of Communication, JavaScript, Excel, Java seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, C++, HTML, CSS seeking entry level opportunity.",1
"Experienced professional with skills in Data Analysis, PyTorch, NLP, Cloud, Machine Learning and over 6 years of experience.",2
"Graduate with knowledge of Basic Python, Java, C++, Communication seeking entry level opportunity.",1
"Graduate with knowledge of C, HTML, CSS, Java seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of C++, C, HTML, JavaScript seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, Machine Learning, Cloud, Deep Learning, PyTorch and over 5 years of experience.",2
"Experienced professional with skills in PyTorch, Machine Learning, NLP, Deep Learning, TensorFlow and over 10 years of experience.",2
"Graduate with knowledge of Communication, C++, CSS, C seeking entry level opportunity.",1
"Graduate with knowledge of HTML, C++, CSS, Communication seeking entry level opportunity.",1
"Graduate with knowledge of C, Java, CSS, HTML seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, Docker, PyTorch, Machine Learning, Cloud and over 5 years of experience.",2
"Experienced professional with skills in NLP, Cloud, PyTorch, Docker, Deep Learning and over 6 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in SQL, PyTorch, Python, TensorFlow, Deep Learning and over 10 years of experience.",2
"Graduate with knowledge of C++, C, HTML, Excel seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in Docker, Machine Learning, SQL, Python, TensorFlow and over 6 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of CSS, Java, C, C++ seeking entry level opportunity.",1
"Experienced professional with skills in Data Analysis, Docker, Machine Learning, NLP, PyTorch and over 5 years of experience.",2
"Experienced professional with skills in NLP, PyTorch, Deep Learning, Python, Docker and over 6 years of experience.",2
Fresher with no significant technical experience.,0
"Graduate with knowledge of Basic Python, HTML, JavaScript, Communication seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, Docker, Data Analysis, PyTorch, Python and over 9 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, Data Analysis, PyTorch, NLP, TensorFlow and over 9 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, Python, Machine Learning, PyTorch, Cloud and over 4 years of experience.",2
"Experienced professional with skills in SQL, Data Analysis, PyTorch, Python, TensorFlow and over 7 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Cloud, Docker, Data Analysis, PyTorch, Python and over 4 years of experience.",2
"Graduate with knowledge of CSS, C, Basic Python, JavaScript seeking entry level opportunity.",1
"Graduate with knowledge of Communication, Java, JavaScript, Excel seeking entry level opportunity.",1
"Experienced professional with skills in SQL, Python, Machine Learning, TensorFlow, Docker and over 7 years of experience.",2
"Experienced professional with skills in Docker, PyTorch, Machine Learning, NLP, Cloud and over 10 years of experience.",2
"Experienced professional with skills in TensorFlow, Docker, Cloud, PyTorch, Data Analysis and over 4 years of experience.",2
Interested in IT field with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of C++, CSS, C, JavaScript seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, Python, SQL, PyTorch, Cloud and over 6 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, Machine Learning, Cloud, NLP, SQL and over 8 years of experience.",2
"Graduate with knowledge of Communication, Java, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, C, Communication, Java seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, TensorFlow, NLP, SQL, Docker and over 3 years of experience.",2
"Graduate with knowledge of Java, Basic Python, C, HTML seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in Docker, Cloud, Machine Learning, SQL, Data Analysis and over 7 years of experience.",2
"Experienced professional with skills in Docker, SQL, TensorFlow, Data Analysis, Cloud and over 4 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in PyTorch, Cloud, NLP, Docker, SQL and over 6 years of experience.",2
"Experienced professional with skills in Docker, Data Analysis, PyTorch, Deep Learning, NLP and over 6 years of experience.",2
"Graduate with knowledge of HTML, Basic Python, C++, Excel seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Java, Excel, JavaScript, Communication seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C, HTML, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Basic Python, Communication, HTML seeking entry level opportunity.",1
"Experienced professional with skills in NLP, Cloud, Data Analysis, Machine Learning, TensorFlow and over 5 years of experience.",2
"Graduate with knowledge of Java, C, Excel, CSS seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, Deep Learning, Python, SQL, Cloud and over 5 years of experience.",2
"Experienced professional with skills in Python, SQL, Cloud, NLP, TensorFlow and over 7 years of experience.",2
"Experienced professional with skills in Python, Docker, SQL, TensorFlow, NLP and over 5 years of experience.",2
"Graduate with knowledge of Basic Python, CSS, C++, HTML seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Excel, Communication, Basic Python seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Python, PyTorch, Data Analysis, Cloud and over 4 years of experience.",2
Interested in IT field with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, Data Analysis, PyTorch, Docker, Cloud and over 4 years of experience.",2
"Graduate with knowledge of Excel, C++, HTML, Java seeking entry level opportunity.",1
"Experienced professional with skills in PyTorch, Cloud, Data Analysis, NLP, TensorFlow and over 6 years of experience.",2
"Experienced professional with skills in NLP, Cloud, Data Analysis, Deep Learning, Docker and over 8 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Python, Deep Learning, Data Analysis, TensorFlow, Docker and over 8 years of experience.",2
"Experienced professional with skills in Data Analysis, NLP, SQL, Deep Learning, Machine Learning and over 10 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Cloud, Deep Learning, NLP, Docker, Machine Learning and over 8 years of experience.",2
"Graduate with knowledge of JavaScript, HTML, CSS, Communication seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in SQL, Python, Deep Learning, Docker, PyTorch and over 5 years of experience.",2
"Graduate with knowledge of Basic Python, Java, C, CSS seeking entry level opportunity.",1
"Experienced professional with skills in Data Analysis, Docker, PyTorch, Cloud, TensorFlow and over 5 years of experience.",2
"Experienced professional with skills in SQL, Cloud, Docker, Python, NLP and over 5 years of experience.",2
"Experienced professional with skills in TensorFlow, Machine Learning, Data Analysis, Deep Learning, Cloud and over 10 years of experience.",2
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in NLP, Cloud, Deep Learning, PyTorch, TensorFlow and over 10 years of experience.",2
"Experienced professional with skills in NLP, Python, Docker, Machine Learning, TensorFlow and over 9 years of experience.",2
"Experienced professional with skills in Docker, Machine Learning, Python, PyTorch, SQL and over 3 years of experience.",2
Fresher with no significant technical experience.,0
"Graduate with knowledge of JavaScript, Excel, Java, C++ seeking entry level opportunity.",1
"Graduate with knowledge of HTML, Communication, JavaScript, C seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of JavaScript, Basic Python, CSS, Excel seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Deep Learning, TensorFlow, Machine Learning, Python and over 10 years of experience.",2
"Graduate with knowledge of JavaScript, C++, HTML, C seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Java, JavaScript, HTML, Excel seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, C, Communication, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Java, C++, CSS, Excel seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of C++, Basic Python, C, Excel seeking entry level opportunity.",1
"Graduate with knowledge of C++, HTML, Java, Communication seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, Data Analysis, Machine Learning, Deep Learning, SQL and over 9 years of experience.",2
"Experienced professional with skills in Cloud, TensorFlow, Docker, Deep Learning, NLP and over 6 years of experience.",2
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Excel, C, JavaScript, Communication seeking entry level opportunity.",1
"Graduate with knowledge of Java, C++, HTML, Communication seeking entry level opportunity.",1
"Graduate with knowledge of C++, Communication, CSS, Excel seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, PyTorch, Cloud, TensorFlow, Python and over 6 years of experience.",2
"Experienced professional with skills in SQL, TensorFlow, Machine Learning, Deep Learning, Docker and over 6 years of experience.",2
"Experienced professional with skills in Data Analysis, Machine Learning, PyTorch, Docker, NLP and over 10 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, SQL, NLP, Data Analysis, Cloud and over 8 years of experience.",2
"Graduate with knowledge of CSS, C++, C, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, PyTorch, TensorFlow, Machine Learning, Cloud and over 7 years of experience.",2
"Graduate with knowledge of C++, Basic Python, Excel, Java seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, SQL, PyTorch, Python, TensorFlow and over 4 years of experience.",2
"Experienced professional with skills in PyTorch, Cloud, SQL, Machine Learning, Docker and over 3 years of experience.",2
"Graduate with knowledge of HTML, Java, CSS, Excel seeking entry level opportunity.",1
"Graduate with knowledge of C, Java, CSS, Excel seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, NLP, Docker, SQL, PyTorch and over 9 years of experience.",2
"Graduate with knowledge of Basic Python, C++, JavaScript, HTML seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, Data Analysis, TensorFlow, Cloud, Deep Learning and over 10 years of experience.",2
"Graduate with knowledge of Java, Basic Python, C, Excel seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, TensorFlow, Cloud, Python, Machine Learning and over 3 years of experience.",2
"Experienced professional with skills in Deep Learning, TensorFlow, Docker, SQL, NLP and over 7 years of experience.",2
"Experienced professional with skills in Machine Learning, Deep Learning, Python, Data Analysis, NLP and over 10 years of experience.",2
"Graduate with knowledge of Excel, HTML, C, Basic Python seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, PyTorch, NLP, Docker, TensorFlow and over 6 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of CSS, Excel, JavaScript, Java seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Machine Learning, Cloud, Data Analysis, Docker and over 8 years of experience.",2
Interested in IT field with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of HTML, Excel, Java, CSS seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in SQL, Python, Data Analysis, Docker, PyTorch and over 9 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in Docker, PyTorch, Cloud, SQL, Deep Learning and over 4 years of experience.",2
"Experienced professional with skills in PyTorch, TensorFlow, Cloud, Data Analysis, NLP and over 8 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, SQL, Docker, PyTorch, Cloud and over 7 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, Python, TensorFlow, NLP, Cloud and over 9 years of experience.",2
"Graduate with knowledge of Basic Python, C, Communication, C++ seeking entry level opportunity.",1
"Graduate with knowledge of C++, Java, C, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Excel, C, Communication, C++ seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in PyTorch, SQL, Machine Learning, TensorFlow, Cloud and over 3 years of experience.",2
"Experienced professional with skills in Cloud, Machine Learning, Deep Learning, Data Analysis, Python and over 5 years of experience.",2
"Graduate with knowledge of Excel, CSS, HTML, C++ seeking entry level opportunity.",1
"Experienced professional with skills in Docker, PyTorch, Deep Learning, NLP, Machine Learning and over 5 years of experience.",2
"Experienced professional with skills in Data Analysis, SQL, Deep Learning, Cloud, PyTorch and over 9 years of experience.",2
"Experienced professional with skills in TensorFlow, Python, Docker, Cloud, Deep Learning and over 5 years of experience.",2
"Experienced professional with skills in SQL, Python, Deep Learning, PyTorch, Data Analysis and over 10 years of experience.",2
"Experienced professional with skills in Data Analysis, NLP, Machine Learning, Deep Learning, Python and over 10 years of experience.",2
"Experienced professional with skills in NLP, Deep Learning, TensorFlow, SQL, Cloud and over 4 years of experience.",2
"Graduate with knowledge of Excel, C++, JavaScript, Communication seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Python, Docker, Machine Learning, Data Analysis, TensorFlow and over 10 years of experience.",2
"Experienced professional with skills in NLP, Data Analysis, Deep Learning, TensorFlow, Docker and over 10 years of experience.",2
Fresher with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Graduate with knowledge of CSS, JavaScript, Basic Python, C++ seeking entry level opportunity.",1
"Graduate with knowledge of C, HTML, Basic Python, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, JavaScript, C++, Communication seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Java, C, Excel, CSS seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Excel, CSS, HTML, JavaScript seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C, CSS, Basic Python, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Machine Learning, SQL, Deep Learning, Python and over 7 years of experience.",2
"Experienced professional with skills in Machine Learning, TensorFlow, Deep Learning, NLP, Docker and over 10 years of experience.",2
"Graduate with knowledge of Excel, Basic Python, Java, Communication seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Basic Python, Java, Communication seeking entry level opportunity.",1
"Experienced professional with skills in SQL, Docker, NLP, Machine Learning, Python and over 10 years of experience.",2
"Graduate with knowledge of CSS, C, JavaScript, HTML seeking entry level opportunity.",1
"Experienced professional with skills in Data Analysis, Docker, Python, TensorFlow, Cloud and over 10 years of experience.",2
"Experienced professional with skills in Data Analysis, Docker, NLP, SQL, TensorFlow and over 3 years of experience.",2
"Graduate with knowledge of C, Basic Python, CSS, Communication seeking entry level opportunity.",1
"Graduate with knowledge of C++, Java, HTML, Excel seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, Cloud, SQL, PyTorch, Machine Learning and over 5 years of experience.",2
"Graduate with knowledge of CSS, Java, JavaScript, Excel seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in PyTorch, Docker, SQL, Data Analysis, NLP and over 10 years of experience.",2
"Graduate with knowledge of Java, C++, JavaScript, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Excel, C, C++, CSS seeking entry level opportunity.",1
"Graduate with knowledge of HTML, Excel, JavaScript, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, C, C++, HTML seeking entry level opportunity.",1
"Experienced professional with skills in Docker, NLP, Cloud, Data Analysis, Python and over 7 years of experience.",2
"Graduate with knowledge of C++, HTML, Java, Excel seeking entry level opportunity.",1
"Graduate with knowledge of HTML, Communication, JavaScript, Java seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Machine Learning, PyTorch, TensorFlow, Cloud and over 3 years of experience.",2
"Experienced professional with skills in SQL, Cloud, NLP, Python, Data Analysis and over 4 years of experience.",2
"Experienced professional with skills in Machine Learning, NLP, Cloud, SQL, Deep Learning and over 5 years of experience.",2
"Experienced professional with skills in Docker, Data Analysis, Machine Learning, NLP, Python and over 4 years of experience.",2
Interested in IT field with no significant technical experience.,0
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Python, Cloud, Data Analysis, PyTorch, TensorFlow and over 5 years of experience.",2
"Graduate with knowledge of Java, Excel, JavaScript, HTML seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Communication, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Communication, Basic Python, Excel, CSS seeking entry level opportunity.",1
"Graduate with knowledge of C, Basic Python, Excel, CSS seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Python, NLP, Deep Learning, PyTorch and over 5 years of experience.",2
"Experienced professional with skills in Machine Learning, Cloud, Docker, TensorFlow, SQL and over 10 years of experience.",2
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
